tempo_s,theta1_ref_deg,theta1_med_deg,theta2_ref_deg,theta2_med_deg,erro1_deg,erro2_deg,torque1_Nm,torque2_Nm,overshoot1_deg,overshoot2_deg,settling_time1_s,settling_time2_s,estado
0.0,-57.91,-57.91,133.43,133.43,0.0,0.0,0.0,0.0,52.123,53.912,,,APROXIMAR
0.1,-55.01,-55.29,130.44,130.62,0.275,-0.187,0.376,-0.244,52.123,53.912,,,APROXIMAR
0.2,-52.12,-52.39,127.44,127.65,0.271,-0.203,0.377,-0.243,52.123,53.912,,,APROXIMAR
0.3,-49.22,-49.49,124.45,124.66,0.267,-0.212,0.378,-0.243,52.123,53.912,,,APROXIMAR
0.4,-46.33,-46.59,121.45,121.67,0.264,-0.216,0.379,-0.242,52.123,53.912,,,APROXIMAR
0.5,-43.43,-43.69,118.46,118.67,0.261,-0.217,0.38,-0.241,52.123,53.912,,,APROXIMAR
0.6,-40.54,-40.79,115.46,115.68,0.258,-0.216,0.38,-0.241,52.123,53.912,,,APROXIMAR
0.7,-37.64,-37.89,112.47,112.68,0.255,-0.214,0.381,-0.24,52.123,53.912,,,APROXIMAR
0.8,-34.74,-35.0,109.47,109.68,0.252,-0.212,0.382,-0.239,52.123,53.912,,,APROXIMAR
0.9,-31.85,-32.1,106.48,106.69,0.25,-0.209,0.382,-0.239,52.123,53.912,,,APROXIMAR
1.0,-28.95,-29.2,103.48,103.69,0.247,-0.206,0.383,-0.238,52.123,53.912,,,APROXIMAR
1.1,-26.06,-26.3,100.49,100.69,0.244,-0.203,0.383,-0.238,52.123,53.912,,,APROXIMAR
1.2,-23.16,-23.4,97.49,97.69,0.241,-0.2,0.383,-0.238,52.123,53.912,,,APROXIMAR
1.3,-20.27,-20.5,94.5,94.69,0.238,-0.197,0.384,-0.237,52.123,53.912,,,APROXIMAR
1.4,-17.37,-17.67,91.5,91.72,0.299,-0.222,0.783,-0.319,52.123,53.912,,,APROXIMAR
1.5,-14.47,-14.86,88.51,88.74,0.39,-0.234,0.805,-0.294,52.123,53.912,,,APROXIMAR
1.6,-11.58,-12.03,85.51,85.74,0.45,-0.229,0.833,-0.266,52.123,53.912,,,APROXIMAR
1.7,-8.68,-9.17,82.52,82.73,0.491,-0.215,0.861,-0.239,52.123,53.912,,,APROXIMAR
0.0,-5.85,-5.85,81.42,81.42,0.0,0.0,-32.55,9.823,1.451,7.798,,,LEVANTAR
0.1,-6.04,-6.37,82.39,81.84,0.333,0.549,1.122,2.148,1.451,7.798,,,LEVANTAR
0.2,-6.22,-6.84,83.37,82.05,0.622,1.321,1.875,2.921,1.451,7.798,,,LEVANTAR
0.3,-6.4,-7.41,84.34,82.3,1.014,2.041,2.686,3.594,1.451,7.798,,,LEVANTAR
0.4,-6.58,-8.14,85.32,82.48,1.564,2.84,3.875,4.686,1.451,7.798,,,LEVANTAR
